"Site","Year","X","Y","DiameterX","DiameterY","Rosettes","Infl","Rust","BrType","InflBr","Comments","TagNew","location_comment","TagDist","RosNew","InflNew","surv","lagsrtsz","lagforsurv","Tot_fall_ppt","Tot_winter_ppt","Tot_summer_ppt","Mean_fall_temp","Mean_winter_temp","Mean_summer_temp","TransectNew","InflYesNo"
"Garden Park West",2014,NA,NA,NA,NA,18,18,NA,NA,NA,NA,"W.1.2","tag 3 cm N",3,NA,NA,NA,0,0,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,"W.1",NA
"Garden Park West",2015,NA,NA,NA,NA,18,18,NA,NA,NA,NA,"W.1.2","tag 3 cm N",3,NA,NA,NA,0,0,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,"W.1",NA
"Garden Park West",2016,0.59,0.47,10,4,7,0,0,"Leaf",0,"","W.1.2","tag 3 cm N",3,7,0,1,3,3,116.2959976,62.17699909,247.020998,14.68625033,2.502000123,16.16900063,"W.1",0
"Garden Park West",2017,NA,NA,NA,NA,18,18,NA,NA,NA,NA,"W.1.2","tag 3 cm N",3,NA,NA,NA,0,0,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,"W.1",NA
"Garden Park West",2018,0.59,0.47,10,2,4,0,0,"None",0,"tag 3cm N","W.1.2","tag 3 cm N",3,4,0,1,2,2,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029,"W.1",0
"Garden Park West",2019,NA,NA,NA,NA,18,18,NA,NA,NA,NA,"W.1.2","tag 3 cm N",3,NA,NA,NA,0,0,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486,"W.1",NA
"Garden Park West",2020,0.59,0.47,9,2,5,0,NA,"None",NA,"","W.1.2","tag 3 cm N",3,5,0,1,2,2,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,"W.1",0
"Garden Park West",2021,NA,NA,NA,NA,18,18,NA,NA,NA,NA,"W.1.2","tag 3 cm N",3,NA,NA,NA,0,0,67.40399933,96.28939724,255.8123894,13.94194984,1.009499963,15.97077453,"W.1",NA
"Garden Park West",2022,0.59,0.47,8,5,3,0,0,"None",0,"","W.1.2","tag 3 cm N",3,3,0,1,2,2,103.334198,82.71409845,212.1602964,15.25862455,1.965074971,16.43314981,"W.1",0
"Garden Park West",2004,0.51,0.9,13,12,8,1,0,"None",0,"","W.1.3","",0,8,1,1,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,"W.1",1
"Garden Park West",2005,0.51,0.9,4,3,3,0,0,"None",0,"","W.1.3","",0,3,0,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,"W.1",0
"Garden Park West",2006,0.51,0.9,7,3,5,0,0,"None",0,"","W.1.3","",0,5,0,1,1,1,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068,"W.1",0
"Garden Park West",2007,0.51,0.9,10,7,6,1,0,"None",0,"","W.1.3","",0,6,1,1,1,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072,"W.1",1
"Garden Park West",2008,0.51,0.9,7,4,15,0,0,"None",0,"","W.1.3","",0,15,0,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,"W.1",0
"Garden Park West",2009,0.51,0.9,8,6,8,0,0,"None",0,"","W.1.3","",0,8,0,1,1,1,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044,"W.1",0
"Garden Park West",2010,0.51,0.9,10,6,9,0,0,"None",0,"","W.1.3","",0,9,0,1,1,1,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,"W.1",0
"Garden Park West",2011,0.51,0.9,0,0,NA,NA,0,"None",0,"dead","W.1.3","",0,NA,NA,0,0,1,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,"W.1",NA
"Garden Park West",2004,0.46,1.32,6,2,2,1,0,"None",0,"","W.1.4","",0,2,1,1,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,"W.1",1
"Garden Park West",2005,0.46,1.32,9,5,6,1,0,"None",0,"infl a bud","W.1.4","",0,6,1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,"W.1",1
"Garden Park West",2006,0.46,1.32,12,2,4,0,0,"None",0,"","W.1.4","",0,4,0,1,1,1,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068,"W.1",0
"Garden Park West",2007,0.46,1.32,16,9,3,2,0,"None",0,"","W.1.4","",0,5,2,1,1,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072,"W.1",1
"Garden Park West",2008,0.46,1.32,9,1,5,0,0,"None",0,"","W.1.4","",0,8,0,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,"W.1",0
"Garden Park West",2009,0.46,1.32,3,2,2,0,0,"None",0,"on right of tag","W.1.4","",0,3,0,1,1,1,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044,"W.1",0
"Garden Park West",2010,0.46,1.32,3,2,4,0,0,"None",0,"","W.1.4","",0,7,0,1,1,1,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,"W.1",0
"Garden Park West",2011,0.46,1.32,0,0,NA,NA,0,"None",0,"dead","W.1.4","",0,NA,NA,0,0,1,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,"W.1",NA
"Garden Park West",2004,0.39,1.47,31,17,38,26,1,"Inflorescence",0,"NO # of INF browsed","W.1.5","",0,38,26,1,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,"W.1",1
"Garden Park West",2005,0.39,1.47,26,11,39,0,0,"Leaf",0,"unhealthy plant leaf browsed","W.1.5","",0,39,0,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,"W.1",0
"Garden Park West",2006,0.39,1.47,20,10,16,0,0,"None",0,"","W.1.5","",0,16,0,1,1,1,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068,"W.1",0
"Garden Park West",2007,0.39,1.47,10,10,8,0,0,"None",0,"","W.1.5","",0,19,0,1,1,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072,"W.1",0
"Garden Park West",2008,0.39,1.47,9,6,12,0,0,"None",0,"","W.1.5","",0,21,0,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,"W.1",0
"Garden Park West",2009,0.39,1.47,11,8,25,2,0,"Leaf and Inflorescence",2,"North","W.1.5","",0,41,2,1,1,1,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044,"W.1",1
"Garden Park West",2010,0.39,1.47,20,12,22,0,0,"None",0,"","W.1.5","",0,22,0,1,1,1,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,"W.1",0
"Garden Park West",2011,0.39,1.47,0,0,NA,NA,0,"None",0,"dead","W.1.5","",0,NA,NA,NA,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,"W.1",NA
"Garden Park West",2012,0.39,1.47,14,9,6,2,0,"Leaf",0,"","W.1.5","",0,6,2,1,2,2,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,"W.1",1
"Garden Park West",2013,0.39,1.47,NA,NA,NA,NA,NA,"None",NA,"dead","W.1.5","",0,NA,NA,0,0,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,"W.1",NA
"Garden Park West",2004,0.45,6.68,33,17,25,24,0,"Inflorescence",15,"","W.1.6","",0,25,24,1,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,"W.1",1
"Garden Park West",2005,0.45,6.68,26,21,23,6,0,"Leaf",0,"","W.1.6","",0,23,6,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,"W.1",1
"Garden Park West",2006,0.45,6.68,23,10,11,1,0,"Leaf and Inflorescence",1,"Insect & Mammal","W.1.6","",0,11,1,1,1,1,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068,"W.1",1
"Garden Park West",2007,0.45,6.68,26,11,14,1,0,"None",0,"","W.1.6","",0,14,1,1,1,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072,"W.1",1
"Garden Park West",2008,0.45,6.68,16,10,8,0,0,"None",0,"","W.1.6","",0,8,0,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,"W.1",0
"Garden Park West",2009,0.45,6.68,22,12,10,2,0,"Leaf and Inflorescence",1,"","W.1.6","",0,10,2,1,1,1,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044,"W.1",1
"Garden Park West",2010,0.45,6.68,20,15,19,0,1,"None",0,"","W.1.6","",0,19,0,1,1,1,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,"W.1",0
"Garden Park West",2011,0.45,6.68,18,15,7,0,0,"None",0,"","W.1.6","",0,7,0,1,1,1,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,"W.1",0
"Garden Park West",2012,0.45,6.68,25,20,22,6,0,"None",0,"","W.1.6","",0,22,6,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,"W.1",1
"Garden Park West",2013,0.45,6.68,16,14,33,0,0,"Leaf",0,"","W.1.6","",0,33,0,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,"W.1",0
"Garden Park West",2014,NA,NA,NA,NA,25,24,NA,NA,NA,NA,"W.1.6","",0,NA,NA,NA,0,0,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,"W.1",NA
"Garden Park West",2015,NA,NA,NA,NA,25,24,NA,NA,NA,NA,"W.1.6","",0,NA,NA,NA,0,0,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,"W.1",NA
"Garden Park West",2016,0.45,6.68,20,14,17,0,0,"None",0,"","W.1.6","",0,17,0,1,3,3,116.2959976,62.17699909,247.020998,14.68625033,2.502000123,16.16900063,"W.1",0
"Garden Park West",2017,NA,NA,NA,NA,25,24,NA,NA,NA,NA,"W.1.6","",0,NA,NA,NA,0,0,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,"W.1",NA
"Garden Park West",2018,0.45,6.68,22,12,8,1,0,"None",0,"tag 10 cm N","W.1.6","",0,8,1,1,2,2,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029,"W.1",1
"Garden Park West",2019,NA,NA,NA,NA,25,24,NA,NA,NA,NA,"W.1.6","",0,NA,NA,NA,0,0,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486,"W.1",NA
"Garden Park West",2020,0.45,6.68,16,13,13,6,NA,"None",NA,"","W.1.6","",0,13,6,1,2,2,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,"W.1",1
"Garden Park West",2021,NA,NA,NA,NA,25,24,NA,NA,NA,NA,"W.1.6","",0,NA,NA,NA,0,0,67.40399933,96.28939724,255.8123894,13.94194984,1.009499963,15.97077453,"W.1",NA
"Garden Park West",2022,0.45,6.68,22,15,23,0,0,"None",0,"","W.1.6","",0,23,0,1,2,2,103.334198,82.71409845,212.1602964,15.25862455,1.965074971,16.43314981,"W.1",0
"Garden Park West",2004,0.5,8.44,24,16,20,21,0,"Leaf",0,"Tag East","W.1.7","",0,20,21,1,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,"W.1",1
"Garden Park West",2005,0.5,8.44,22,13,25,8,0,"Leaf",0,"","W.1.7","",0,25,8,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,"W.1",1
"Garden Park West",2006,0.5,8.44,16,13,15,11,0,"Inflorescence",1,"mammal","W.1.7","",0,15,11,1,1,1,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068,"W.1",1
"Garden Park West",2007,0.5,8.44,18,18,29,7,0,"None",0,"tag is below and right of plant","W.1.7","",0,29,7,1,1,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072,"W.1",1
"Garden Park West",2008,0.5,8.44,13,12,14,0,0,"None",0,"","W.1.7","",0,14,0,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,"W.1",0
"Garden Park West",2009,0.5,8.44,14,12,23,0,0,"None",0,"","W.1.7","",0,23,0,1,1,1,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044,"W.1",0
"Garden Park West",2010,0.5,8.44,15,13,25,0,0,"None",0,"","W.1.7","",0,25,0,1,1,1,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,"W.1",0
"Garden Park West",2011,0.5,8.44,11,12,7,0,0,"None",0,"","W.1.7","",0,7,0,1,1,1,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,"W.1",0
"Garden Park West",2012,0.5,8.44,0,0,NA,NA,0,"None",0,"dead","W.1.7","",0,NA,NA,0,0,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,"W.1",NA
"Garden Park West",2004,0.35,9.02,23,15,22,24,0,"Inflorescence",1,"","W.1.8","",0,22,24,1,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,"W.1",1
"Garden Park West",2005,0.35,9.02,21,11,21,5,0,"Leaf",0,"","W.1.8","",0,21,5,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,"W.1",1
"Garden Park West",2006,0.35,9.02,13,8,11,6,0,"None",0,"","W.1.8","",0,11,6,1,1,1,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068,"W.1",1
"Garden Park West",2007,0.35,9.02,15,11,8,7,0,"None",0,"","W.1.8","",0,8,7,1,1,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072,"W.1",1
"Garden Park West",2008,0.35,9.02,8,10,14,0,0,"None",0,"","W.1.8","",0,14,0,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,"W.1",0
"Garden Park West",2009,0.35,9.02,17,9,10,5,0,"Leaf and Inflorescence",3,"","W.1.8","",0,10,5,1,1,1,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044,"W.1",1
"Garden Park West",2010,0.35,9.02,10,9,18,0,0,"None",0,"","W.1.8","",0,18,0,1,1,1,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,"W.1",0
"Garden Park West",2011,0.35,9.02,0,0,NA,NA,0,"None",0,"dead","W.1.8","",0,NA,NA,0,0,1,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,"W.1",NA
"Garden Park West",2004,0.13,9.15,24,13,13,16,0,"Inflorescence",3,"","W.1.9","",0,13,16,1,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,"W.1",1
"Garden Park West",2005,0.13,9.15,20,13,17,0,0,"Leaf",0,"","W.1.9","",0,17,0,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,"W.1",0
"Garden Park West",2006,0.13,9.15,14,13,10,1,0,"Leaf",0,"mammal","W.1.9","",0,10,1,1,1,1,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068,"W.1",1
"Garden Park West",2007,0.13,9.15,15,15,13,1,0,"None",0,"","W.1.9","",0,13,1,1,1,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072,"W.1",1
"Garden Park West",2008,0.13,9.15,12,11,10,0,0,"None",0,"","W.1.9","",0,10,0,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,"W.1",0
"Garden Park West",2009,0.13,9.15,16,6,11,0,0,"None",0,"","W.1.9","",0,11,0,1,1,1,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044,"W.1",0
"Garden Park West",2010,0.13,9.15,15,10,9,0,0,"None",0,"","W.1.9","",0,9,0,1,1,1,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,"W.1",0
"Garden Park West",2011,0.13,9.15,0,0,NA,NA,0,"None",0,"dead","W.1.9","",0,NA,NA,NA,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,"W.1",NA
"Garden Park West",2012,0.13,9.15,8,4,5,1,0,"None",0,"","W.1.9","",0,5,1,1,2,2,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,"W.1",1
"Garden Park West",2013,0.13,9.15,NA,NA,NA,NA,NA,"None",NA,"dead","W.1.9","",0,NA,NA,0,0,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,"W.1",NA
"Garden Park West",2004,0.17,9.4,6,3,1,1,0,"None",0,"","W.1.10","",0,35,16,1,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,"W.1",1
"Garden Park West",2005,0.17,9.4,0,0,NA,NA,0,"None",0,"no plant","W.1.10","",0,43,13,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,"W.1",1
"Garden Park West",2006,0.17,9.4,0,0,NA,NA,0,"None",0,"no plant","W.1.10","",0,25,11,1,1,1,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068,"W.1",1
"Garden Park West",2007,0.17,9.4,29,28,42,4,0,"None",0,"","W.1.10","",0,42,4,1,1,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072,"W.1",1
"Garden Park West",2008,0.17,9.4,28,25,27,1,0,"None",0,"","W.1.10","",0,27,1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,"W.1",1
"Garden Park West",2009,0.17,9.4,1,1,3,0,0,"None",0,"","W.1.10","",0,39,9,1,1,1,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044,"W.1",1
"Garden Park West",2010,0.17,9.4,25,18,38,0,0,"None",0,"","W.1.10","",0,38,0,1,1,1,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,"W.1",0
"Garden Park West",2011,0.17,9.4,25,19,4,0,0,"None",0,"","W.1.10","",0,4,0,1,1,1,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,"W.1",0
"Garden Park West",2012,0.17,9.4,22,16,26,0,0,"None",0,"","W.1.10","",0,26,0,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,"W.1",0
"Garden Park West",2013,0.17,9.4,NA,NA,NA,NA,NA,"None",NA,"dead","W.1.10","",0,NA,NA,0,0,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,"W.1",NA
"Garden Park West",2004,0.35,9.63,30,28,49,41,0,"Inflorescence",16,"","W.1.11","",0,49,41,1,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,"W.1",1
"Garden Park West",2005,0.35,9.63,25,22,39,18,0,"Leaf",0,"","W.1.11","",0,39,18,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,"W.1",1
"Garden Park West",2006,0.35,9.63,28,16,25,10,0,"Inflorescence",2,"Mammal","W.1.11","",0,25,10,1,1,1,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068,"W.1",1
"Garden Park West",2007,0.35,9.63,26,26,41,11,0,"None",0,"","W.1.11","",0,41,11,1,1,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072,"W.1",1
"Garden Park West",2008,0.35,9.63,24,6,22,0,0,"None",0,"","W.1.11","",0,22,0,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,"W.1",0
"Garden Park West",2009,0.35,9.63,22,14,21,1,0,"Leaf",0,"","W.1.11","",0,21,1,1,1,1,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044,"W.1",1
"Garden Park West",2010,0.35,9.63,19,18,24,0,0,"None",0,"","W.1.11","",0,24,0,1,1,1,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,"W.1",0
"Garden Park West",2011,0.35,9.63,0,0,NA,NA,0,"None",0,"dead","W.1.11","",0,NA,NA,0,0,1,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,"W.1",NA
"Garden Park West",2004,0.5,9.82,27,20,33,38,0,"Inflorescence",13,"","W.1.12","",0,33,38,1,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,"W.1",1
"Garden Park West",2005,0.5,9.82,21,17,43,13,0,"None",0,"","W.1.12","",0,43,13,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,"W.1",1
"Garden Park West",2006,0.5,9.82,13,6,8,1,0,"None",0,"","W.1.12","",0,8,1,1,1,1,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068,"W.1",1
"Garden Park West",2007,0.5,9.82,17,13,24,0,0,"None",0,"","W.1.12","",0,24,0,1,1,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072,"W.1",0
"Garden Park West",2008,0.5,9.82,14,11,12,0,0,"None",0,"","W.1.12","",0,12,0,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,"W.1",0
"Garden Park West",2009,0.5,9.82,0,0,NA,NA,0,"None",0,"dead","W.1.12","",0,NA,NA,0,0,1,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044,"W.1",NA
"Garden Park West",2004,0.5,10.65,35,27,49,87,0,"Inflorescence",2,"","W.1.13","",0,49,87,1,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,"W.1",1
"Garden Park West",2005,0.5,10.65,33,21,69,35,0,"Leaf and Inflorescence",1,"","W.1.13","",0,69,35,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,"W.1",1
"Garden Park West",2006,0.5,10.65,28,21,20,5,0,"None",0,"much die back","W.1.13","",0,20,5,1,1,1,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068,"W.1",1
"Garden Park West",2007,0.5,10.65,31,27,41,15,0,"None",0,"","W.1.13","",0,41,15,1,1,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072,"W.1",1
"Garden Park West",2008,0.5,10.65,23,20,35,1,0,"None",0,"","W.1.13","",0,35,1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,"W.1",1
"Garden Park West",2009,0.5,10.65,25,20,33,10,0,"None",0,"","W.1.13","",0,33,10,1,1,1,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044,"W.1",1
"Garden Park West",2010,0.5,10.65,22,17,48,0,0,"None",0,"","W.1.13","",0,48,0,1,1,1,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,"W.1",0
"Garden Park West",2011,0.5,10.65,0,0,NA,NA,0,"None",0,"dead; crispy","W.1.13","",0,NA,NA,0,0,1,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,"W.1",NA
"Garden Park West",2004,0.47,11.1,4,2,1,0,0,"None",0,"","W.1.14","north (plant south of tag)",0,2,0,1,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,"W.1",0
"Garden Park West",2005,0.47,11.1,3,2,4,0,0,"None",0,"","W.1.14","north (plant south of tag)",0,9,0,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,"W.1",0
"Garden Park West",2006,0.47,11.1,5,4,4,0,0,"None",0,"","W.1.14","north (plant south of tag)",0,7,0,1,1,1,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068,"W.1",0
"Garden Park West",2007,0.47,11.1,5,4,3,0,0,"None",0,"","W.1.14","north (plant south of tag)",0,8,0,1,1,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072,"W.1",0
